Location,Postcode,City
Taman Buloh Emas,30100,Ipoh
Taman Buntong Jaya,30100,Ipoh
Taman Buntong Mutiara,30100,Ipoh
Taman Buntong Ria,30100,Ipoh
Taman Cherry,30100,Ipoh
Taman Desa Rishah,30100,Ipoh
Taman Desa Rishah Indah,30100,Ipoh
Taman Eden,30100,Ipoh
Taman Grand Silibin,30100,Ipoh
Taman Gurmuda,30100,Ipoh
Taman Idris,30100,Ipoh
Taman Kandy,30100,Ipoh
Taman Keladang Jaya,30100,Ipoh
Taman Keledang Emas,30100,Ipoh
Taman Keledang Jaya,30100,Ipoh
Taman Lim,30100,Ipoh
Taman Mas,30100,Ipoh
Taman Maxwell,30100,Ipoh
Taman Merdeka,30100,Ipoh
Taman Muhibah,30100,Ipoh
Taman Pari,30100,Ipoh
Taman Pertama,30100,Ipoh
Taman Risah,30100,Ipoh
Taman Saz,30100,Ipoh
Taman Seri Tahan,30100,Ipoh
Taman Seri Wani,30100,Ipoh
Taman Silibin,30100,Ipoh
Taman Silibin Mewah,30100,Ipoh
Taman Tinggi,30100,Ipoh
Teluk Kurin,30100,Ipoh
Buntong,30100,Ipoh
Buntong Jaya,30100,Ipoh
Buntong Tambahan,30100,Ipoh
Buntung Ria,30100,Ipoh
Cherry Apartment,30100,Ipoh
Grand Silibin,30100,Ipoh
Hala Bekor,30100,Ipoh
Hala Pari Garden,30100,Ipoh
Jalan Abdul Manaf,30100,Ipoh
Jalan Charleton,30100,Ipoh
Jalan Cheong Chee,30100,Ipoh
Jalan Damai,30100,Ipoh
Jalan Delaila,30100,Ipoh
Jalan Edgar,30100,Ipoh
Jalan Gurap,30100,Ipoh
Jalan Guru Nanak,30100,Ipoh
Jalan Habib Abdullah,30100,Ipoh
Jalan Hassan,30100,Ipoh
Jalan Jelapang,30100,Ipoh
Jalan Kampung Manjoi,30100,Ipoh
Jalan Kampung Manjoi Lama,30100,Ipoh
Jalan Kilat,30100,Ipoh
Jalan Kledang Raya,30100,Ipoh
Jalan Kong Chew Far,30100,Ipoh
Jalan Manjoi,30100,Ipoh
Jalan Merdeka,30100,Ipoh
Jalan Pari,30100,Ipoh
Jalan Rakyat,30100,Ipoh
Jalan Regat Damai,30100,Ipoh
Jalan Regat Merdeka,30100,Ipoh
Jalan Samson,30100,Ipoh
Jalan Silibin,30100,Ipoh
Jalan Sungai,30100,Ipoh
Jalan Sungai Pari (Buntong),30100,Ipoh
Jalan Taman Merdeka,30100,Ipoh
Jalan Toh Muda Hashim,30100,Ipoh
Jalan Tun Abdul Razak,30100,Ipoh
Jalan Wayang,30100,Ipoh
Kampung Baru Buntong,30100,Ipoh
Kampung Buntong Jaya,30100,Ipoh
Kampung Chekkadi,30100,Ipoh
Kampung Gurap,30100,Ipoh
Kampung Hulu Buntong,30100,Ipoh
Kampung Kacang Putih,30100,Ipoh
Kampung Kuala Tanggong,30100,Ipoh
Kampung Santa Singh,30100,Ipoh
Kampung Telok Keruin,30100,Ipoh
Kilat Drive,30100,Ipoh
Labrooy Road,30100,Ipoh
Lebuhraya Merdeka,30100,Ipoh
Lengkok Keladang,30100,Ipoh
Lengkok Klendang Raya,30100,Ipoh
Lintasan Idris,30100,Ipoh
Lintasan Jelapang,30100,Ipoh
Lorong Kilat,30100,Ipoh
Lorong Maxwell,30100,Ipoh
Lorong Pari,30100,Ipoh
Lorong Perhentian,30100,Ipoh
Lorong Silibin,30100,Ipoh
Persiaran Desa Rishah (S) 1/8,30100,Ipoh
Persiaran Desa Rishah 11,30100,Ipoh
Bengkel Workshop MBI Falim,30200,Ipoh
Birch Avenue,30200,Ipoh
Falim,30200,Ipoh
Flat Buntong Permai,30200,Ipoh
Hala Datok,30200,Ipoh
Hala Perusahaan Menglembu 1 & 2,30200,Ipoh
Hala Sungai Pari,30200,Ipoh
Jalan Bijih Timah,30200,Ipoh
Jalan Datok,30200,Ipoh
Jalan Foo Nyit Tse,30200,Ipoh
Jalan Foo Wah Ching,30200,Ipoh
Jalan Gurdawara Crescent,30200,Ipoh
Jalan Gurdawara Sungai Pari,30200,Ipoh
Jalan Janze Avenue,30200,Ipoh
Jalan Jelf,30200,Ipoh
Jalan Lahat,30200,Ipoh
Jalan Lahat (Falim),30200,Ipoh
Jalan Lee Chok Kai,30200,Ipoh
Jalan Leong B Swee (88 - 108),30200,Ipoh
Jalan Leong Yew Koh,30200,Ipoh
Jalan Madras,30200,Ipoh
Jalan Meyyapa,30200,Ipoh
Jalan Nehru,30200,Ipoh
Jalan Sanders,30200,Ipoh
Jalan Spooner,30200,Ipoh
Jalan St John,30200,Ipoh
Jalan Sungai Pari,30200,Ipoh
Jalan Thambusamy,30200,Ipoh
Jalan Treacher Selatan,30200,Ipoh
Jalan Tun Abdul Razak,30200,Ipoh
Jalan Tun Perak,30200,Ipoh
Janze Avenue,30200,Ipoh
JKR Kuarters Lorong Lahat,30200,Ipoh
Kampung Paloh,30200,Ipoh
Kampung Taili,30200,Ipoh
Kampung Tersusun Sungai Pari,30200,Ipoh
Kawasan Industri Paloh,30200,Ipoh
Lahat Avenue,30200,Ipoh
Lahat Drive,30200,Ipoh
Laluan Perusahaan Menglembu,30200,Ipoh
Lebuhraya Lahat,30200,Ipoh
Lengkok Lahat,30200,Ipoh
Lengkok Sungai Pari,30200,Ipoh
Lorong Isaac,30200,Ipoh
Lorong Keretapi,30200,Ipoh
Lorong Lahat,30200,Ipoh
Lorong Pakianathan,30200,Ipoh
Mariamma Lane,30200,Ipoh
Medan Mara,30200,Ipoh
Medan Perhentian (Kidd),30200,Ipoh
Pei Lok Appartment,30200,Ipoh
Persiaran Datoh,30200,Ipoh
Persiaran Falim,30200,Ipoh
Persiaran Guntung,30200,Ipoh
Persiaran KIDD,30200,Ipoh
Persiaran Lahat,30200,Ipoh
Persiaran Nehru,30200,Ipoh
Persiaran Perhentian,30200,Ipoh
Persiaran Tun Perak,30200,Ipoh
Regat Lahat,30200,Ipoh
Seberang Paloh,30200,Ipoh
Silibin Drive,30200,Ipoh
Silibin Mews,30200,Ipoh
Solok Lahat,30200,Ipoh
Sungai Pari Towers,30200,Ipoh
Taman Birch,30200,Ipoh
Taman Falim,30200,Ipoh
Taman Falim Indah,30200,Ipoh
Taman Mas Jaya (Falim),30200,Ipoh
Taman Wolly,30200,Ipoh
Tingkat Falim,30200,Ipoh
Persiaran Taman Kinta,30250,Ipoh
Pesara Mansion,30250,Ipoh
Regat Canton,30250,Ipoh
Regat Chateau,30250,Ipoh
Regat Mansion,30250,Ipoh
Regat Tun Perak,30250,Ipoh
Selasar Chateau,30250,Ipoh
Solok Gopeng,30250,Ipoh
Solok Kampar,30250,Ipoh
St. Hellen,30250,Ipoh
Taman Chateau,30250,Ipoh
Taman Cindee,30250,Ipoh
Taman Gopeng,30250,Ipoh
Taman Kampar,30250,Ipoh
Taman Kinta,30250,Ipoh
Taman Lebuhraya (1 & 2),30250,Ipoh
Taman Mansion,30250,Ipoh
Taman Nasional,30250,Ipoh
Taman St Helen,30250,Ipoh
Taman Victoria,30250,Ipoh
Hala Batu Bungkal,30250,Ipoh
Hala Cavendish,30250,Ipoh
Hala Gopeng,30250,Ipoh
Hala Lawan Kuda,30250,Ipoh
Hala Pinji Seni,30250,Ipoh
Housing Trust,30250,Ipoh
Jalan Abu Bakar,30250,Ipoh
Jalan Ali Pitchay,30250,Ipoh
Jalan Au Kong,30250,Ipoh
Jalan Batu Bungkal,30250,Ipoh
Jalan Canton,30250,Ipoh
Jalan Carrier,30250,Ipoh
Jalan Chamberlain,30250,Ipoh
Jalan Chamberlain Hulu,30250,Ipoh
Jalan Chateau,30250,Ipoh
Jalan Che Wan,30250,Ipoh
Jalan Chew Boon Juan,30250,Ipoh
Jalan Chin Hin Hwa,30250,Ipoh
Jalan Chong Ah Mooi,30250,Ipoh
Jalan Chua Cheng Bok,30250,Ipoh
Jalan Chung On Siew,30250,Ipoh
Jalan Chung Thye Phin Bawah,30250,Ipoh
Jalan CM Yusuf,30250,Ipoh
Jalan CM Yusuf Hulu,30250,Ipoh
Jalan Foo Kan Yit,30250,Ipoh
Jalan Gopal Singh,30250,Ipoh
Jalan Gopeng (1 - 117),30250,Ipoh
Jalan Haji Yusuff,30250,Ipoh
Jalan Holnberg,30250,Ipoh
Jalan Hussein,30250,Ipoh
"Jalan Kennedy (152,182,199)",30250,Ipoh
Jalan Khoo Cheng Chow,30250,Ipoh
Jalan Khoo Chong San,30250,Ipoh
Jalan Kimberly,30250,Ipoh
Jalan Leong Kim Seng,30250,Ipoh
Jalan Leow How Kit,30250,Ipoh
Jalan Lim Seng Chew,30250,Ipoh
Jalan Mohd Naseh,30250,Ipoh
Jalan Mui Fah,30250,Ipoh
Jalan Ng Keng Tan,30250,Ipoh
Jalan Permaisuri Bainun,30250,Ipoh
Jalan Pinji Seni,30250,Ipoh
"Jalan President Kennedy (152,182, 199)",30250,Ipoh
Jalan Raja Nazrin Shah,30250,Ipoh
Jalan Raja Permaisuri Bainun,30250,Ipoh
Jalan Rose,30250,Ipoh
Jalan Sarmukh,30250,Ipoh
Jalan Saw Seong Peck,30250,Ipoh
Jalan Seruan,30250,Ipoh
Jalan St Helen,30250,Ipoh
Jalan Taman Lebuhraya,30250,Ipoh
"Jalan Tiga, Jalan Dua, Jalan Satu",30250,Ipoh
Jalan Voon Thean So,30250,Ipoh
Jalan Weng Lok Mansion Flat,30250,Ipoh
Jalan Windsor,30250,Ipoh
Jalan Yang Kalsom,30250,Ipoh
Lebuh Batu Bungkal,30250,Ipoh
Lebuh Chateau,30250,Ipoh
Lebuhraya Batu Bungkul,30250,Ipoh
Lebuhraya Canton,30250,Ipoh
Lebuhraya Cavendish,30250,Ipoh
Lebuhraya Chateau,30250,Ipoh
Lebuhraya Kampar,30250,Ipoh
Lebuhraya Mansion Park,30250,Ipoh
Lengkok Batu Bungkal,30250,Ipoh
Lengkok Cavendish,30250,Ipoh
Lengkok Chateau,30250,Ipoh
Lengkok Kampar,30250,Ipoh
Lengkok Mansion,30250,Ipoh
Lorong Cavendish,30250,Ipoh
Lorong Chateau,30250,Ipoh
Lorong Chung Thye Ping,30250,Ipoh
Lorong Hong Kong,30250,Ipoh
Lorong Taman Kinta,30250,Ipoh
Medan Chateau,30250,Ipoh
Persiaran Batu Bungkal,30250,Ipoh
Persiaran Canton,30250,Ipoh
Persiaran Cavendish,30250,Ipoh
Persiaran Chateau,30250,Ipoh
Persiaran Hong Kong,30250,Ipoh
Persiaran Kampar,30250,Ipoh
Persiaran Kowloon,30250,Ipoh
Persiaran Mansion,30250,Ipoh
Persiaran Shanghai,30250,Ipoh
Anderson Drive,30300,Ipoh
Hala Pasar,30300,Ipoh
Hala Pasar Baru,30300,Ipoh
Horley Street,30300,Ipoh
Jalan Aylesbury,30300,Ipoh
Jalan Chapman,30300,Ipoh
Jalan Che Tak,30300,Ipoh
Jalan Church,30300,Ipoh
Jalan Clare,30300,Ipoh
Jalan Clark,30300,Ipoh
Jalan Dass,30300,Ipoh
Jalan Dato Onn Jaafar,30300,Ipoh
Jalan Dato Tahwil Azar,30300,Ipoh
Jalan Dato Tahwil Azhar,30300,Ipoh
Jalan Dato Yeoh,30300,Ipoh
Jalan Foo Choo Choon,30300,Ipoh
Jalan Foo Yet Kai,30300,Ipoh
Jalan Hala Pasar Baru,30300,Ipoh
Jalan Horley,30300,Ipoh
Jalan Jubli,30300,Ipoh
Jalan Lau Ek Ching,30300,Ipoh
Jalan Laxamana,30300,Ipoh
Jalan Leong Sin Nam,30300,Ipoh
Jalan Lim Bo Seng,30300,Ipoh
Jalan Masjid,30300,Ipoh
Jalan Musa Aziz,30300,Ipoh
Jalan Mustafa Al Bakri,30300,Ipoh
Jalan Onn Jaafar,30300,Ipoh
Jalan Raja Ikram (1 - 28),30300,Ipoh
Jalan Raja Ikram (30 - 135),30300,Ipoh
Jalan Raja Musa Aziz,30300,Ipoh
Jalan Russel,30300,Ipoh
Jalan Sultan Iskandar,30300,Ipoh
Jalan Thawil Azhar,30300,Ipoh
Jalan Theatre,30300,Ipoh
Jalan Toh Puan Chah,30300,Ipoh
Jalan Verasamy,30300,Ipoh
Jalan Yau Tet Sin,30300,Ipoh
Kampung Java,30300,Ipoh
Lintas Pasar Baru,30300,Ipoh
Lintasan Baru,30300,Ipoh
Lintasan Pasar Baru,30300,Ipoh
Lorong Dulcieville,30300,Ipoh
Lorong Laxmana,30300,Ipoh
Lorong Menteri,30300,Ipoh
Persiaran Anderson,30300,Ipoh
Taman Dr Seenivagam,30300,Ipoh
Taman Jubilee,30300,Ipoh
Tingkat Pasar,30300,Ipoh
Waller Court,30300,Ipoh
Taman Badaraya Impiana,30350,Ipoh
Brash Drive,30350,Ipoh
Hala Raja Di Hilir,30350,Ipoh
Hala Tambun,30350,Ipoh
Jalan Aziz Ismail,30350,Ipoh
Jalan Brash,30350,Ipoh
Jalan Caldwell,30350,Ipoh
Jalan Ceylon,30350,Ipoh
Jalan Foo Chong Nyit,30350,Ipoh
Jalan Francois,30350,Ipoh
Jalan Garland,30350,Ipoh
Jalan Golf Club,30350,Ipoh
Jalan Hang Tuah,30350,Ipoh
Jalan Hassan Adli,30350,Ipoh
Jalan Kelab Golf,30350,Ipoh
Jalan Lasam,30350,Ipoh
Jalan Lumba Kuda,30350,Ipoh
Jalan Oh Chen Keat,30350,Ipoh
Jalan Sturruck,30350,Ipoh
Jalan Tambun,30350,Ipoh
Jalan Teh Hian Tat,30350,Ipoh
Jalan Towers,30350,Ipoh
Jalan Tun Dr Ismail,30350,Ipoh
Jalan Tun Suffian,30350,Ipoh
Jalan Watson,30350,Ipoh
Jalan Woodward,30350,Ipoh
Jalan Zain Azrai,30350,Ipoh
Kediaman Menteri Besar Perak,30350,Ipoh
Laluan Raja Di Hilir,30350,Ipoh
Laluan Tambun,30350,Ipoh
Lebuh Lasam,30350,Ipoh
Lebuhraya Lasam,30350,Ipoh
Lebuhraya Tambun,30350,Ipoh
Lorong Abdul Jalil,30350,Ipoh
Lorong Cheah Chiang Lim,30350,Ipoh
Lorong Haji Marzuki,30350,Ipoh
Lorong Oh Cheng Kiat,30350,Ipoh
Lorong Raja Di Hilir,30350,Ipoh
Lorong Rani,30350,Ipoh
Lorong Selamat,30350,Ipoh
Lorong Tambun,30350,Ipoh
Lorong Tun Dr Ismail,30350,Ipoh
Persiaran Brash,30350,Ipoh
Persiaran Tambun,30350,Ipoh
Flora Tropika,30350,Ipoh
Galeri Suria,30450,Ipoh
Greentown,30450,Ipoh
Jalan 1 Greentown,30450,Ipoh
